abandonovaný | dva
abandonovat | dva
abdikovaný | dva
abdikovat | dva
absolutismus | osm
abstrakcionismus | osm
acidifikovaný | dva
adaptovaný | dva
adaptovaný | dva
adaptovat | dva
adaptovatelnější | dva
adaptovatelný | dva
adekvace | dva
adekvační | dva
adenosinmonofosfát | osm
adhezivita | dva
aditivace | dva
aditivita | dva
adjektivizace | dva
adjungovaný | dva
adjustovaný | dva
adjustovat | dva
administrativa | dva
administrovaný | dva
administrovat | dva
adolescentčin | deset
adolescentka | deset
adolescentní | deset
adolescent | deset
adolescentův | deset
adoptovaný | dva
adoptovat | dva
adorovaný | dva
adorovat | dva
adresovací | dva
adresovaný | dva
adresovaný | dva
adresovat | dva
adresovatelný | dva
adsorbovaný | dva
adsorbovat | dva
adventista | dva
adventistka | dva
advokacie | dva
advokátka | dva
aforismus | osm
afrodisiakum | osm
ahistorismus | osm
akademizovaný | dva
akademizovat | dva
akomodovaný | dva
akomodovat | dva
akreditovanější | dva
akreditovaný | dva
akreditovat | dva
alegorismus | osm
alogismus | osm
aminoethylcelulóza | nula
aminopropylcelulóza | nula
amoralismus | osm
amsterodamský | sedm
anachronismus | osm
andulka | nula
anejakulace | nula
angličtinářčin | tři
anorgasmie | osm
antagomismus | osm
antagonismus | osm
antedatovaný | dva
antedatovat | dva
antibolševismus | osm
antidemokratismus | osm
antidogmatismus | osm
antikatolicismus | osm
antikomunismus | osm
antikvářčin | tři
antilékařčin | tři
antinacionalismus | osm
antisionismus | osm
antisocialismus | osm
antisovětismus | osm
antišovinismus | osm
anulovaný | nula
anulovat | nula
anulovávaný | nula
anulovávat | nula
aplaudovaný | dva
aplaudovat | dva
apriorismus | osm
archeoastronomie | osm
aristokratismus | osm
aristotelismus | osm
astrolékařčin | tři
atomismus | osm
audionahrávací | dva
audiosouprava | dva
audiosoustava | dva
audiostřižna | tři
auditovaný | dva
auditovat | dva
austrofašismus | osm
austromarxismus | osm
autodoprava | dva
autokratismus | osm
automanipulace | nula
automatismus | osm
