rj | adres | sejda
cr | akcím | mírka
oa | akord | draka
oš | akord | drška
ož | akord | držka
rd | akrem | medka
rk | akrem | mekka
rz | akrem | mezka
td | aktem | medka
tk | aktem | mekka
tz | aktem | mezka
tl | aktiv | vilka
ts | aktiv | viska
tč | aktiv | vička
tr | aktům | můrka
ak | alarm | mrkla
az | alarm | mrzla
bt | albem | metla
bk | album | mukla
ps | alpám | másla
pt | alpám | mátla
pv | alpám | mávla
ba | ambra | arama
bo | ambra | aroma
bó | ambra | aróma
oa | amora | arama
oó | amora | aróma
er | anebo | obrna
km | anket | temna
kp | anket | tepna
kč | anket | tečna
oá | anodu | udána
tc | antil | licna
tp | antil | lipna
tá | antil | liána
lm | aplet | tempa
sg | arsen | negra
sp | arsen | nepra
oi | atolu | ulita
oy | atomu | umyta
rs | atrap | pasta
ai | avalo | oliva
ao | avalo | olova
jb | bajek | kebab
ds | bedel | leseb
ts | betel | leseb
čs | bečel | leseb
čl | bečov | voleb
ds | bodán | násob
ďr | buďto | otrub
dř | bádej | jeřáb
rk | bárin | nikáb
řk | bářin | nikáb
bp | cebit | tipec
bd | cebiv | videc
cl | cecek | kelec
dp | cedit | tipec
lž | celul | lužec
np | cenit | tipec
nm | ceněn | němec
tl | cetek | kelec
vd | civil | lidic
dš | cídil | lišíc
ds | cídit | tisíc
lš | cílil | lišíc
ls | cílit | tisíc
tš | cítil | lišíc
ts | cítit | tisíc
cz | dacan | nazad
vp | divil | lipid
dh | dodán | náhod
dr | dodán | národ
dv | dodán | návod
jt | dojem | metod
jh | dojen | nehod
kt | dokem | metod
lt | dolem | metod
mt | domem | metod
st | dosem | metod
br | duben | nerud
lv | dělen | nevěd
hk | echem | mekce
ft | elfem | metle
io | elips | spole
iá | elips | spále
aš | email | lišme
tz | enter | rezne
tp | entit | tipne
ua | enumu | umane
hč | ethan | načte
hs | ethen | neste
hč | ethen | nečte
hč | ethin | ničte
hl | ethos | solte
uá | etudu | udáte
uí | etudu | udíte
zř | evzen | neřve
žz | evžen | nezve
žř | evžen | neřve
ns | hanbo | obsah
nt | hanbo | obtah
rt | horám | mátoh
bd | huben | neduh
nj | idnes | sejdi
bť | imbus | suťmi
